,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
152,Cameroon,0.518,23.2999992371,32.9000015259,56.0,2894.0,23.1,6.1,4.6,7.4,34.8,-0.15,1.06,1.27,0.61
153,Papua New Guinea,0.516,7.599999904600001,10.1000003815,62.8,2712.0,,4.3,3.7,5.3,11.5,1.6,1.57,0.9,1.45
154,Zimbabwe,0.516,15.600000381500001,21.3999996185,59.2,1588.0,35.8,7.7,7.3,8.2,17.4,-1.55,0.57,2.67,0.13
155,Solomon Islands,0.515,0.6000000238000001,0.8000000119,68.1,1561.0,26.3,5.3,,,22.8,,1.19,0.71,
156,Mauritania,0.513,4.0999999046,5.6999998092999995,63.2,3527.0,21.2,4.3,3.3,5.4,40.8,1.62,0.94,1.04,1.23
157,Madagascar,0.512,24.2000007629,36.0,65.5,1320.0,20.4,6.1,6.7,6.1,35.0,,1.01,0.33,
158,Rwanda,0.498,11.600000381500001,15.800000190699999,64.7,1617.0,36.4,3.8,3.3,4.4,29.3,3.14,3.39,1.4,2.89
159,Comoros,0.49700000000000005,0.8000000119,1.1000000238,63.6,1335.0,56.0,4.8,3.7,5.6,47.6,,,0.78,
160,Lesotho,0.49700000000000005,2.0999999046,2.5,50.1,3319.0,47.0,6.1,7.0,5.3,24.3,-1.06,0.56,1.2,0.04
161,Senegal,0.494,15.100000381500001,22.7999992371,66.9,2250.0,27.7,2.8,2.1,3.6,44.7,0.37,1.8,1.65,1.2
162,Haiti,0.493,10.6999998093,12.600000381500001,63.1,1657.0,48.4,5.2,3.9,6.6,38.3,0.82,0.6,0.96,0.76
163,Uganda,0.493,39.0,61.9000015259,59.2,1670.0,27.3,5.7,4.5,6.8,29.4,2.51,1.88,0.66,1.88
164,Sudan,0.49,40.2000007629,56.4000015259,63.7,3846.0,,3.5,3.0,4.1,42.7,1.89,1.49,1.15,1.58
165,Togo,0.48700000000000004,7.3000001907000005,10.5,60.2,1262.0,23.5,4.7,3.2,6.3,38.9,0.53,0.69,1.32,0.75
166,Benin,0.485,10.899999618499999,15.600000381500001,59.8,1979.0,29.4,3.5,2.8,4.3,44.8,1.38,1.4,1.32,1.37
167,Yemen,0.48200000000000004,26.7999992371,36.2999992371,64.1,2300.0,20.6,3.0,1.9,4.2,48.1,0.91,1.06,-0.44,0.7
168,Afghanistan,0.479,32.5,43.9000015259,60.7,1871.0,10.8,3.6,1.6,5.8,44.8,1.43,2.95,1.08,1.97
169,Malawi,0.47600000000000003,17.2000007629,26.6000003815,63.9,1073.0,32.5,4.4,3.8,5.0,28.2,1.74,1.4,1.38,1.53
170,Côte d'Ivoire,0.474,22.7000007629,32.0999984741,51.9,3163.0,27.4,5.0,3.9,6.1,45.1,0.16,1.11,1.43,0.79
171,Djibouti,0.473,0.8999999762,1.1000000238,62.3,3216.0,21.7,4.1,,,47.0,,2.19,0.98,
172,Gambia,0.452,2.0,3.0999999045999997,60.5,1541.0,26.9,3.3,2.6,4.2,,1.54,1.4,0.46,1.27
173,Ethiopia,0.44799999999999995,99.4000015259,138.3000030518,64.6,1523.0,9.5,2.6,1.5,3.7,36.6,,3.79,1.71,
174,Mali,0.442,17.6000003815,27.3999996185,58.5,2218.0,16.1,2.3,1.7,3.0,41.6,2.94,3.14,1.82,2.8
175,Congo (Democratic Republic of the),0.435,77.3000030518,120.3000030518,59.1,680.0,28.2,6.1,4.0,8.1,27.7,-0.73,1.89,1.79,0.81
176,Liberia,0.42700000000000005,4.5,6.400000095399999,61.2,683.0,22.7,4.4,3.1,6.0,42.9,,0.51,1.0,
177,Guinea-Bissau,0.424,1.7999999522999999,2.5,55.5,1369.0,32.5,2.9,,,40.3,,,0.67,
178,Eritrea,0.42,5.1999998093,7.3000001907000005,64.2,1490.0,,3.9,,,,,,0.74,
179,Sierra Leone,0.42,6.5,8.6000003815,51.3,1529.0,19.2,3.3,2.6,4.2,47.3,1.04,2.65,1.39,1.75
180,Mozambique,0.418,28.0,41.4000015259,55.5,1098.0,28.4,3.5,2.5,4.6,33.8,3.63,2.9,1.03,2.82
181,South Sudan,0.418,12.300000190699999,17.7999992371,56.1,1882.0,,4.8,4.0,5.3,39.6,,,-0.49,
